,ROUGE-1,ROUGE-2,ROUGE-L
recall,0.2749522310924405,0.08427309855479077,0.24462031251067237
precision,0.2594348310696207,0.07604933581663642,0.23150960893877134
f1-score,0.2616809434947681,0.07803448423573454,0.23320846487549268
