,ROUGE-1,ROUGE-2,ROUGE-L
recall,0.30298775343194784,0.11346609008937016,0.2835800506308074
precision,0.3423463578603876,0.12243958502157178,0.3203558161929125
f1-score,0.31324971352202424,0.11410332450276411,0.29318305687595136
