,ROUGE-1,ROUGE-2,ROUGE-L
recall,0.01208927849355444,8.517918385194278e-06,0.011223341743300733
precision,0.008977910073184443,7.529551274705529e-06,0.00829650963762032
f1-score,0.009951610113616446,7.760072381742532e-06,0.00921333987957118
