,ROUGE-1,ROUGE-2,ROUGE-L
recall,0.3089548248614879,0.13201519001272122,0.2924796673181873
precision,0.45238478496626444,0.20177062861834297,0.4280421370177184
f1-score,0.3591793604819393,0.155193973332821,0.33996688720210905
