,ROUGE-1,ROUGE-2,ROUGE-L
recall,0.21457838955466832,0.04407894202861537,0.19594567811485636
precision,0.18597787420842132,0.03968116179242135,0.16999632053817518
f1-score,0.18750613515677328,0.03869129939533379,0.1711977061975745
