model,meteor_score
tf_idf,0.19465575391998444
textrank,0.3091513926562907
lsa,0.2334738737751778
seq2seq_pg,0.017898150569780315
t5,0.2964814433904361
t5_fine_tuned,0.27796549071675686
bart,0.40383199355109045
llama2,0.3392881349409618
llama2_fine_tuned,0.21972772372879412
