,ROUGE-1,ROUGE-2,ROUGE-L
recall,0.4556172261189598,0.21208811661772642,0.4289006525129384
precision,0.3702958969725224,0.16683916380411992,0.3485905987687825
f1-score,0.40085142926106987,0.18221076175268108,0.37734467235779123
