,ROUGE-1,ROUGE-2,ROUGE-L
recall,0.30873494233592064,0.10240680284464544,0.28486118172099656
precision,0.23475406799425047,0.07280561379391938,0.21675527905679806
f1-score,0.25178972681308864,0.07884121800028848,0.23232213525707934
