,ROUGE-1,ROUGE-2,ROUGE-L
recall,0.23174421181979843,0.06480258628045411,0.21378709483971114
precision,0.2135939535943141,0.0585615669428875,0.1972841125088922
f1-score,0.20963430367470096,0.056994512335765926,0.1934151065543294
