,ROUGE-1,ROUGE-2,ROUGE-L
recall,0.4608344484203904,0.16974305405345086,0.4263452821941135
precision,0.23180346870214696,0.07339695549639685,0.21359799545139377
f1-score,0.297352360781139,0.0975729099217917,0.2743644436986497
